seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,symbol_entropy_bits,conditional_bit_entropy_sum,bmd_gmi_bits_per_symbol,gmi,ngmi,ber,gsnr_db,air_tbps,rate_tbps
1,C,C,8,2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.20028408444290344,3.790512129874756,3.790512129874756,0.9499289788892742,0.0120849609375,13.555859788332153,0.48518555262396873,0.48518555262396873
1,C,C,8,2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.18790115494879403,3.7988639849857586,3.7988639849857586,0.9530247112628015,0.010955810546875,13.573970440864162,0.4862545900781771,0.4862545900781771
1,C,C,8,2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.21695859180993526,3.7650571175767107,3.7650571175767107,0.9457603520475162,0.0137939453125,13.338013312806723,0.48192731104981895,0.48192731104981895
1,C,C,8,2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.17995460366792532,3.7966005157754465,3.7966005157754465,0.9550113490830187,0.0106201171875,13.497058431909645,0.48596486601925715,0.48596486601925715
1,C,C,8,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.1839795466780501,3.7864120616677845,3.7864120616677845,0.9540051133304874,0.01104736328125,13.522308001864271,0.48466074389347646,0.48466074389347646
1,C,C,8,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.4849715159555362,3.5150284840444637,3.5150284840444637,0.8787571210111159,0.029388427734375,12.231696661350748,0.44992364595769135,0.44992364595769135
1,C,C,8,4.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.45342736648706283,3.54325248943417,3.54325248943417,0.8866431583782343,0.02587890625,12.12582270072609,0.4535363186475737,0.4535363186475737
1,C,C,8,4.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.4665864821380368,3.5275163191845422,3.5275163191845422,0.8833533794654909,0.02679443359375,12.076727493887653,0.4515220888556214,0.4515220888556214
1,C,C,8,4.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.48653421818115394,3.5042619961365054,3.5042619961365054,0.8783664454547115,0.02886962890625,11.918583050226289,0.44854553550547266,0.44854553550547266
1,C,C,8,4.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.45798586439120126,3.5287792755433514,3.5287792755433514,0.8855035339021997,0.027008056640625,11.996519065357711,0.45168374726954896,0.45168374726954896
1,C,C,8,4.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.4610519232407482,3.520963786145898,3.520963786145898,0.884737019189813,0.026580810546875,11.981675338462752,0.4506833646266749,0.4506833646266749
1,C,C,8,4.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.43698901279143554,3.5395661066519364,3.5395661066519364,0.8907527468021411,0.02593994140625,11.93923150145672,0.45306446165144787,0.45306446165144787
